,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
943,511602,Glendene South,5,3100,3,Western Auckland Zone,Main urban area,0.16129032258064516,True
1473,561000,Rongotea,1,620,501,Rural Centre,Rural area,0.16129032258064516,True
1309,580449,Rapaura,2,1240,502,Rural (Incl.some Off Shore Islands),Rural area,0.16129032258064516,True
645,519400,One Tree Hill East,10,6180,4,Central Auckland Zone,Main urban area,0.16181229773462785,True
870,588401,Belfast South,6,3700,22,Christchurch,Main urban area,0.16216216216216214,True
869,552400,Frankleigh,6,3690,14,New Plymouth,Main urban area,0.16260162601626016,True
942,518102,Sherbourne,5,3070,4,Central Auckland Zone,Main urban area,0.16286644951140067,True
1171,543903,Wainui,3,1840,11,Gisborne,Main urban area,0.16304347826086957,True
1471,545911,Tutira,1,610,502,Rural (Incl.some Off Shore Islands),Rural area,0.16393442622950818,True
1472,521202,Whangapouri Creek,1,610,5,Southern Auckland Zone,Main urban area,0.16393442622950818,True
1470,566610,Akatarawa,1,610,17,Upper Hutt Zone,Main urban area,0.16393442622950818,True
868,517703,Sandringham East,6,3640,4,Central Auckland Zone,Main urban area,0.16483516483516483,True
598,514700,Blockhouse Bay,11,6660,4,Central Auckland Zone,Main urban area,0.16516516516516516,True
1048,610602,Waikiwi,4,2420,24,Invercargill,Main urban area,0.1652892561983471,True
796,534604,Waihou-Walton,7,4210,502,Rural (Incl.some Off Shore Islands),Rural area,0.166270783847981,True
941,566900,Totara Park,5,3000,17,Upper Hutt Zone,Main urban area,0.16666666666666669,True
1469,551120,Okato,1,600,501,Rural Centre,Rural area,0.16666666666666669,True
740,511402,Rewarewa,8,4800,3,Western Auckland Zone,Main urban area,0.16666666666666669,True
795,572701,Linden,7,4190,20,Wellington Zone,Main urban area,0.16706443914081145,True
794,526701,Onewhero,7,4180,502,Rural (Incl.some Off Shore Islands),Rural area,0.1674641148325359,True
940,599400,Fraser Park,5,2980,113,Timaru,Secondary urban area,0.16778523489932887,True
1308,506003,Silverdale South,2,1190,2,Northern Auckland Zone,Main urban area,0.16806722689075632,True
939,527123,Kainui,5,2960,6,Hamilton Zone,Main urban area,0.16891891891891891,True
867,596000,Mt Pleasant,6,3550,22,Christchurch,Main urban area,0.16901408450704225,True
1468,521116,Buckland,1,590,101,Pukekohe,Secondary urban area,0.1694915254237288,True
1467,584940,Haupiri,1,590,502,Rural (Incl.some Off Shore Islands),Rural area,0.1694915254237288,True
1170,585802,Amberley,3,1760,307,Amberley,Minor urban area,0.17045454545454544,True
866,549800,Norsewood-Herbertville,6,3520,502,Rural (Incl.some Off Shore Islands),Rural area,0.17045454545454544,True
597,516900,Glen Innes North,11,6450,4,Central Auckland Zone,Main urban area,0.17054263565891473,True
1307,521111,Paerata-Cape Hill,2,1170,101,Pukekohe,Secondary urban area,0.17094017094017094,True
